user,text,city,country,latitude,longitude
BrandoPk123,"Se Suicido Cuaderno De Matematicas, Tenia Muchos Problemas 😥😥😂😂",N/A,N/A,N/A,N/A
fraany_TJ,El otro dia estaban mirando porno en matematicas ahora que me acuero kakakakakakakajajsjajajajaja,N/A,N/A,N/A,N/A
HugoParra_y5,"—Este mes me inscribí a clases de matemáticas.
—¿Y cómo vas?
—Pues me lleva mi papá.",N/A,N/A,N/A,N/A
juliepzz,"Hoy cuando empecé a llorar en el salón por culpa de la Profe de Español, mi Profe de Matemáticas me empezó a dar án… https://t.co/g8fO3kJca1",N/A,N/A,N/A,N/A
lillysantiago35,Yo odio tanto las matemáticas.,N/A,N/A,N/A,N/A
idadevuelta,"@miseliti Sentirme orgullosa de los niños q ganan mundiales de matemáticas, ajedrez o fútbol y saber q aún hay much… https://t.co/34DDQd4TwI",N/A,N/A,N/A,N/A
GeluacLugo,Me ha gustado un vídeo de @YouTube (https://t.co/o8K8tyuVA2 - MATEMÁTICAS FINANCIERAS - Clases 3 - VAN Formulación y Cálculo,N/A,N/A,N/A,N/A
HobiHope180294,"@namtacos Tas bien. te baja un poco matemáticas, pero tas bien. :)",N/A,N/A,N/A,N/A
nicolasziletti,ESTA MAS DIFICIL QUE MATEMATICAS,N/A,N/A,N/A,N/A
namtacos,IGNOREN MATEMÁTICAS AHI VALGO VERGA,N/A,N/A,N/A,N/A
L_orocas,@SexyYetzSW @fersw82 @MiauMiauHW @InakiLolasw @SexyEnfermera69 @PrudenceMexico @poyin96 @SeducemeMx @Revista_H… https://t.co/xqEISZ5knh,N/A,N/A,N/A,N/A
Victorlxrd,Cuando estoy en clases de Matemáticas. https://t.co/mfUJ351HYR,N/A,N/A,N/A,N/A
germiarftust,Saqué un 10 en matemáticas y no estudié nada https://t.co/1RsJaWDy0L,N/A,N/A,N/A,N/A
mathusal9,El crack de las matemáticas de 6 años que ha pasado 5 de ellos en el hospital https://t.co/If2dR2SfgV vía @abc_es,N/A,N/A,N/A,N/A
RolandoJP11,"@montsepinedao Matemáticas, español también",N/A,N/A,N/A,N/A
AyyAlejandrita,"Estudio psicología y aún así tengo que ver matemáticas, biología y hasta cibernética🤔",N/A,N/A,N/A,N/A
stf_ov,Matematicas*😣 https://t.co/4Ugc8Fvlee,Medellín,Colombia,N/A,N/A
kareenvicthoria,"Cosas que no entiendo:
—La química.
—La física.
—Las matemáticas.
—El porqué te fuiste de mi vida cuando más te necesitaba.",N/A,N/A,N/A,N/A
Chico76456367,"Esta tiene más problemas que un libro de matemáticas, ""histérica"".
🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊",N/A,N/A,N/A,N/A
ArianaFrancoH,"Número Pi, una curiosa cifra utilizada para casi todo #matemáticas https://t.co/diEyFHCb5z",N/A,N/A,N/A,N/A
DanaArizpe,Como batallo para que me entren las matemáticas 😬😫,N/A,N/A,N/A,N/A
noravia23,@maibortpetit Son ignorantes Maibort llegaron allí al azar como los graduandos de bachilleres con matemáticas físic… https://t.co/1HfMzO190E,N/A,N/A,N/A,N/A
